Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,RR.L,RR.L,RR.L,RR.L,RR.L,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,11219.2216796875,11269.218211236908,11153.22625804228,11219.2216796875,1929022,924.8648071289062,932.0637670220757,922.1651895406883,926.0646439488071,14854667,2690.983154296875,2709.479601762783,2667.4876669753157,2682.4847865422685,9901655,4819.1787109375,4826.6632108073145,4786.0313251074385,4795.654602221376,2604354,1072.95556640625,1109.4540549186713,1071.455628522178,1109.4540549186713,19465288.0,4196.75634765625,4226.747460193098,4166.765235119402,4176.762272631685,4687814
2025-08-06,11053.2333984375,11273.218141304902,11053.2333984375,11203.222995847093,1355456,934.0634765625,936.2631672323008,927.4644045530978,929.5641342486405,23676486,2725.976318359375,2754.470844335257,2711.9790073536788,2711.9790073536788,7474270,4827.732421875,4834.148265501956,4783.8926138016,4821.3170664418985,2004018,1087.9549560546875,1092.8177918309948,1076.9723785331828,1091.45481115229,9560948.0,4231.74609375,4234.745205085046,4187.759127502658,4214.751129518072,2611877
2025-08-07,10950.0,11022.0,10810.0,10900.0,5872552,934.0634765625,944.5619419615058,932.2637518422033,943.3621051392294,20878998,2650.49072265625,2708.979484359528,2643.492067409704,2690.4830383507992,12176102,4837.35595703125,4877.987841356875,4828.801824731768,4842.702167669969,2620981,1077.0,1095.5,1067.5,1091.5,58989268.0,4187.7587890625,4241.742788730529,4172.763233599158,4207.752863013622,2565817
2025-08-08,10922.0,11120.0,10876.0,11110.0,3307227,939.1627197265625,939.1627197265625,927.5644393458201,929.3641640909372,15550763,2652.490478515625,2675.486061254358,2634.493935502703,2634.493935502703,9901676,4812.76318359375,4871.572971053969,4802.07076125219,4857.67213853851,1817644,1071.5,1084.3699951171875,1063.0,1078.0,51876753.0,4226.74755859375,4242.742818985779,4187.759111388178,4216.750520848732,2946972
2025-08-11,11036.0,11110.0,10986.0,10992.0,2952554,949.3612060546875,949.3612060546875,943.862010021722,943.862010021722,17436132,2643.9921875,2664.988154956041,2629.4949718755906,2644.4920914870486,4013703,4818.109375,4836.287274016291,4804.209030735441,4818.109375,1372065,1082.0,1082.0,1051.0,1071.5,23366748.0,4312.72216796875,4318.720390733658,4232.745864436645,4240.7434947898555,3143276
2025-08-12,11086.0,11102.0,10994.0,11024.0,2207453,954.560546875,956.3602717205591,948.531398462201,949.0613503308672,19884939,2675.486083984375,2677.4856998916875,2646.4916533283413,2648.491269235654,9676367,4801.0009765625,4841.633351840158,4786.031488119164,4826.663375202958,1797560,1090.5,1091.0,1077.0,1080.0,30126826.0,4286.7294921875,4343.712603440926,4266.735418063491,4313.721492254912,2169044
2025-08-13,11444.0,11444.0,11158.0,11186.0,1598480,955.2604370117188,960.5596504572837,952.3608363017219,959.3598135763802,32025951,2668.9873046875,2675.4860563190673,2649.699994030953,2669.487208659159,5113448,4886.5419921875,4906.858178524272,4797.793235389184,4797.793235389184,3345286,1081.5,1104.27001953125,1081.5,1102.0,34254950.0,4198.75537109375,4295.72662609282,4173.762779599144,4270.734034598214,4460312
2025-08-14,11586.0,11586.0,11404.0,11442.0,2115415,953.8340454101562,954.9339449133895,939.8350137569756,939.9349824278388,14352752,2627.75732421875,2641.7560314253947,2620.7579706154274,2640.7561237677774,5116724,4828.16748046875,4855.971161208501,4802.503257979681,4846.347016745369,2122338,1101.5,1111.5,1088.0,1088.5,12998633.0,4236.744140625,4236.744140625,4188.75836461037,4216.75006728557,4689003
2025-08-15,11592.0,11654.0,11538.0,11618.0,2185395,938.8350830078125,953.2340503766565,935.73526080863,947.0344670092259,25240873,2638.75634765625,2656.2547319245277,2616.758378861844,2646.2556551997977,15746518,4795.017578125,4839.93057761739,4793.948337241335,4822.820770527365,5515766,1074.0,1106.125,1068.5,1105.5,18669581.0,4196.75634765625,4249.740646471349,4126.777085070272,4235.744793954153,5863945
2025-08-18,11738.0,11776.0,11642.0,11696.0,3644208,939.8350219726562,939.8350219726562,928.0357892227977,935.5352705311305,39748110,2632.7568359375,2636.2565127038433,2601.259745040413,2634.25669740879,7863882,4828.16748046875,4828.16748046875,4781.115999040583,4786.462691715896,3225883,1082.0,1083.7669677734375,1068.0,1075.0,67865264.0,4258.73828125,4260.737688893779,4226.74775894953,4236.744797168427,2674167
