Ticker,Return_5d,Return_1mo,Return_3mo,Return_1y,Return_3y,Volatility_5d,Volatility_1mo,Volatility_3mo,Volatility_1y,Volatility_3y,Market-Cap,PE-Ratio
CTEC.L,-2.059308046604162,4.389815568934794,2.50000131541285,-1.144097625942704,-2.721137140288275,0.31110804918606033,0.20487314782995744,0.2577341602009421,0.2705044825866246,0.26908424345355103,463569077108.31915,2972.5000381469727
DCC.L,1.7671046669687356,-10.052062474969963,-4.817126927831092,-15.128395340317514,0.9480071921873514,0.2665728306422323,0.27251352866609874,0.22122328758236603,0.22717788804507374,0.23003418895474317,383549705530.0,3480.6201550387595
DGE.L,3.8077403245942576,-4.9714285714285715,-9.644280251711782,-30.038322739254188,-54.6128415914978,0.22358415306126211,0.293622513615657,0.27572587464556403,0.26098423279372995,0.2268981156922312,3695107412105.075,2103.6682901503164
DPLM.L,1.9990451023845748,3.7835628962035774,3.688087578827522,31.184020677561158,97.41677043873538,0.25900227231357964,0.1956473973260935,0.1828253372946755,0.2661198746694407,0.2580228350289186,758306320200.0,4127.7372262773715
EDV.L,0.2430444347852611,19.348052322414294,43.66380788319333,170.05453186487676,113.63030115971686,0.6149326553368212,0.43976641322068233,0.4982919597090336,0.41979503758052583,0.36560968960152773,983346315953.1553,2779.564599277211
ENT.L,-4.839994185436941,-8.424537189541503,-16.51972440998405,14.25120751880384,-50.18482012508717,0.2831345847564107,0.26977279045368496,0.309467255469934,0.39668803507906647,0.39142540212517385,460258028297.5017,
EXPN.L,-2.2593896713615025,1.406559723751034,-11.427667402444518,-8.651496120771613,9.295255920036599,0.30961109452085833,0.20155894411845066,0.2234252135785651,0.24494755769644738,0.23079449305041982,3039227355500.0,3022.7272727272725
EZJ.L,-4.570638381971767,-0.6591168294606193,5.489933271167873,-3.0316882063777557,9.574471404256208,0.12329903772813049,0.21123321872295672,0.2640266876772318,0.2872538688571752,0.31557372049105586,362030484252.9053,741.8461726262019
FCIT.L,1.189836220066574,3.665043619092893,9.087121320691912,9.565672286464375,36.652210812648576,0.09149280996392993,0.0775346258970798,0.1145005479783599,0.15343041029164822,0.1419772979113642,603890997340.4492,
FRES.L,6.742149175599564,34.997423957375915,63.77921193758363,439.89708904157226,290.22655374135786,0.45479475382802154,0.4303088382705676,0.5616716167140273,0.47231373907231194,0.400016154428832,2710294624020.0,7995.652173913043
GAW.L,2.8245518739815316,-4.58180901712616,29.671706681340787,43.78973457345728,102.82580737914229,0.19995518961340103,0.12526383745924086,0.2964792398541145,0.2627620256835292,0.2811268755673229,626502579600.0,3038.4615384615386
GLEN.L,18.65617137844278,27.916987727887065,57.80067849162673,32.46522654970406,-14.887587505732313,0.5895615741867777,0.35204543345549605,0.3124857006936447,0.3504169118649994,0.3122340063391315,5728728447137.964,
GSK.L,-0.2213403952934955,2.9358676009274416,28.980183653926066,39.979422547153945,33.977797184233964,0.15075030778101964,0.1847249552503802,0.22951032080351755,0.25939292335241065,0.21843267914498965,7610377827437.0,1418.421052631579
HIK.L,1.0994833669354838,-0.8201270767405063,-3.0295796913675743,-24.34198870847378,-8.326814004567947,0.2735816536834591,0.1943597043755765,0.35124692161860327,0.28520711354983685,0.2452290251425735,347015168042.0,1263.7096774193549
HLMA.L,1.1025358324145533,2.9208967441062637,11.628144734345259,32.5239187581669,70.09277358675551,0.13349432954467702,0.1835710753696807,0.2380786773092714,0.2305838817917985,0.2289711440624377,1386165139910.0,4032.967032967033
HLN.L,-1.5057827898417235,1.440039213946289,7.8304311539812375,-0.9016255117599675,15.263617270320315,0.1820148389510684,0.16607846666409934,0.17513781471735138,0.2142142018190433,0.18904200033928217,3267632827269.8325,2158.2352582146136
HSBA.L,3.0951981967823636,15.156053134236972,23.051647200918467,50.776566851088475,109.08797010419791,0.07592658778281185,0.17559321248609674,0.21424879214573447,0.24351249864799326,0.22268034810113946,21110666393902.97,1732.112744828345
HSX.L,-0.07147962830593281,6.8807339449541285,7.126436781609195,29.84033348207969,26.67138883518319,0.07282184638137291,0.14957705840128335,0.15722095000755676,0.2548434468467893,0.23787175134630942,455168804406.0,1100.7874015748032
HWDN.L,1.1890606420927468,4.097859327217125,2.536378805829434,9.839504847216892,21.121068738205214,0.22704838424015528,0.14042317916162933,0.22355856628682033,0.25008317562220383,0.24735287306752402,459529478980.0,1853.2608695652173
IAG.L,-6.698780017966083,4.0419592113708225,6.926638599527209,30.141576460829704,152.66279756152153,0.1958942047043069,0.23677007389957214,0.3217168236850982,0.35159416725961623,0.3160136269993211,1857965530311.0,726.7857142857142
ICG.L,-2.127659574468085,1.0119650925684665,-9.549607384409128,-2.2759555092532673,55.531133414554255,0.2804375235533629,0.2007820612244103,0.24930145434470838,0.31419809113303204,0.3125439079867373,589999790730.0,995.0980392156863
IHG.L,-0.1832172998104421,-0.40481868238051816,15.962304598678125,0.03214117011566003,88.52743563277166,0.1496824059654613,0.17571759439795814,0.18627812572198488,0.23615654737550548,0.2108094032357926,20465842768.0,28.752642706131077
III.L,3.301587301587302,8.502834278092697,-13.996670822385077,-12.836097476884378,127.54817418679652,0.1444651224241701,0.24864198197780535,0.41261258935376605,0.32131909879137854,0.2637523594671609,3210143730154.0,501.386748844376
IMB.L,0.3973509933774834,-7.306634056863344,-2.464747638912908,16.818744620127756,49.88679503060387,0.08341841997232742,0.15672026273280235,0.18144329430376935,0.19615248178474137,0.1839222922901307,2394797505390.0,1216.867469879518
IMI.L,1.2996941896024465,8.16326530612245,16.330114135206323,41.205274123142225,83.73687289978457,0.08037607239812457,0.15593179025727213,0.16948485320882917,0.23300891940981586,0.22224003769562345,654447874596.0,2858.064516129032
INF.L,0.44923628597519905,-5.554379681725185,-1.018144247503927,9.367397837572303,35.60312499277051,0.2012041427442438,0.1882452538874858,0.18065701672204537,0.2362411958851975,0.2036883885551326,1147888703263.0674,14959.999593098959
ITRK.L,-0.7534841584560417,-0.3651282269021739,-1.3516121058437365,-6.471932817320186,5.3056942967281016,0.16681321017310363,0.13927803133006564,0.1784335773473856,0.22452340988331645,0.2021666011892386,704667485520.0,2049.1071428571427
JD.L,-0.2359034232939662,6.990060772477674,-8.660550321556629,-3.9475554040833387,-46.20315000520008,0.23960746786281417,0.3205703747589166,0.3603999678847947,0.3984705939119593,0.4378408458369575,416148000242.06415,845.5999755859375
KGF.L,-3.0627871362940278,1.7357742817554227,28.67497826895576,32.425053507215715,18.658797628945724,0.3690829253608304,0.1884469567695325,0.3171459617749904,0.31075245576247523,0.2955917705529691,538780825178.98816,3166.0000610351562
LAND.L,-0.9441902101501938,4.653558254632474,17.267565935623217,13.86237489487101,-9.610198497639594,0.1962008971956385,0.19342296465569864,0.21527325078068923,0.22747111618658558,0.24215427802203313,477555414968.0,1942.4242424242423
LGEN.L,0.3018821860259434,6.3199951171875,11.633759336154908,14.419422258856809,2.843223764760254,0.18185153031274037,0.15402505416864573,0.14852436406255803,0.20029356730714315,0.21817610894708866,1499390265005.2522,6657.499694824219
LLOY.L,1.7990958195494737,6.137973578411071,22.799608724480073,77.95874605023847,106.22062686225699,0.0687103753720959,0.13318633494352597,0.20989260246749156,0.25459464011435134,0.23990804932189905,5978808764673.25,1695.8333333333335
LMP.L,2.278481012658228,7.161803713527852,13.120020712894418,11.73661962903158,6.838974263618744,0.1099188648220579,0.17014030695846882,0.15111914522948755,0.18479781894673175,0.23071230142921675,473015936224.4497,1350.666707356771
LSEG.L,2.5745257452574526,2.435723951285521,6.121495327102804,-22.941677752790333,20.04753626472772,0.1649061024632989,0.1902341220105139,0.2651498571438624,0.2748698968950727,0.19594563828036862,4607604071130.0,4902.7027027027025
MKS.L,6.438518849473103,10.37593984962406,6.876177053980581,9.237451508609434,142.94243865938046,0.38296706329213676,0.27333850905579105,0.26948452972859555,0.2820278244136594,0.2814595316550524,741390766433.8408,36765.20080566406
MNDI.L,-0.3320788043973832,5.433258128110364,-10.630270529621589,-23.36212938012392,-45.34258636537032,0.3145926162403145,0.17306047825790177,0.36753887758681475,0.3316523281609489,0.28017584467450485,397556985245.9511,2437.297264305321
MNG.L,1.0135135135135136,10.007363292359535,18.36895992689314,49.969076708818925,46.32730142413118,0.04179453488576402,0.1148018100308913,0.14186304184721354,0.212951631497348,0.21759109982976388,709381097867.0,
MRO.L,1.5064141689202724,10.73427000245848,7.210568297442464,13.525786422491738,101.76946414938945,0.2791167831715651,0.22975723354604377,0.27580841745525486,0.40640345213557943,0.3655615527439936,797906872902.8677,2539.199951171875
NG.L,-0.6162332259087067,2.816787139265413,13.228332923239773,23.942602036220407,14.042297433288848,0.25136771603554636,0.15450571181538417,0.1278641626071196,0.19162289920833922,0.2002024173754138,5850600257422.5,1962.5
NWG.L,-0.6830214732514522,2.8617343718599275,22.006094204104627,57.16622943922789,114.50361950505601,0.13669414506394761,0.2078215166358095,0.2404231443753223,0.2793362511870951,0.2804141882988174,5096349530184.0,996.875
NXT.L,-1.7533079214861549,-1.919215935900794,17.04169763720294,51.21457948458963,114.31454876598409,0.1820661821823979,0.20228702849589986,0.24152717889442613,0.23471400710277723,0.2262626883381472,1630838410705.0,2126.5151515151515
PHNX.L,0.605245460659045,7.858687815428983,16.559317773299796,49.73355750789918,19.598756938158026,0.06169893637279661,0.16123751432180122,0.1826671465479965,0.23630584459604131,0.2339914877856741,748344434203.1956,
PRU.L,2.843601895734597,8.450704225352112,19.052369077306732,91.0603439970719,-8.943606728922802,0.07120243011690354,0.1915115906857844,0.18067841107475485,0.24167296144221528,0.2951428393176369,3016582739455.0,1242.7083333333335
PSH.L,4.114837910934792,-2.119329572937882,3.0910773224426045,14.39039371295848,61.88331388718294,0.2934648523779072,0.21537130361946513,0.21166338472648455,0.2559268709210067,0.22084238276817963,847609301216.0,
PSN.L,0.4313443565780014,4.253731343283582,27.89340309146412,18.494638129386903,-4.168649157774137,0.294518748495594,0.22523081074217233,0.25673123445538526,0.27632562534766686,0.32324373651335153,448085401230.0,1769.620253164557
PSON.L,-6.389020350212967,-0.10101010101010101,-3.9805825242718447,-22.62794355944647,6.235104736188245,0.8455187380795571,0.3584871343953599,0.2572482522740818,0.23689506062223487,0.2229840350648601,631452438671.3276,1529.5384803185095
REL.L,-1.1118170266836087,3.318951211417192,-9.10948905109489,-20.20737943166902,29.833843079710537,0.1504658468059015,0.18467450835460036,0.2021850529202945,0.21008514801834427,0.18043085487978022,5666533211040.0,3000.0
RIO.L,3.293509848240232,16.242732558139537,37.60619421443166,29.814174905850056,3.3188726433698643,0.39993271025055044,0.21166920215173285,0.20585492854654172,0.21785041926123477,0.23204477984735708,10397840145984.0,1367.3076923076924
RKT.L,0.12965964343598055,4.287643484132343,8.500175623463296,26.416671096188836,6.020999835930926,0.09540402102832204,0.11554393223920595,0.13273664405150623,0.20426870921843152,0.22909770804704507,4153632322546.5625,3359.130859375
RMV.L,1.6141756313053641,-3.0428270969484488,-28.121789300155932,-21.0593647522641,-6.9482549347867035,0.14661775119015247,0.170841430409129,0.2885187718807523,0.2540225186768496,0.3000889935385439,392770717513.4326,1989.2308161808894
RR.L,0.0,19.708372530573847,12.560813799203894,119.87873503158286,1075.5570798385013,0.29358901260465686,0.2556966040174994,0.2500605399147092,0.3484419063039867,0.3652108885844682,10507896663124.5,1872.7941176470588
RTO.L,-0.6229847253457304,9.2325870374299,25.706523397694465,20.53021927015436,-10.436088901703776,0.3284095285227359,0.22019318671605173,0.24394992825064868,0.3042090533505146,0.34710189103309513,1164781225428.2876,5146.666802300348
SBRY.L,-3.951367781155015,1.1523707342672063,-2.0631670463035277,22.009260257540973,30.48467855161045,0.43784404663812804,0.2249687451190567,0.2277961584831428,0.2346030618506681,0.22292306997391323,705052842025.1747,1757.7777438693577
SDR.L,9.833662770897652,16.68399538556441,20.117713927984738,40.04154559354764,-4.859243680225894,0.2162396912005782,0.15782107879465654,0.17750310962438295,0.26206218337424414,0.26199669933314823,697138258804.7551,2043.6363913796165
SGE.L,-2.432179607109448,-1.8684067657776784,-2.737641624674393,-20.15291604140037,34.51556757720933,0.5157140388016066,0.23501728786063295,0.2145534652853045,0.21602850613309993,0.23264055187255414,989623967145.0,2824.324324324324
SGRO.L,0.8121277881885075,4.724405934930792,17.587615895966955,5.213838097750002,-10.403744733115518,0.10068012318737489,0.15168467124238924,0.18367930309382824,0.2308747159395024,0.24173060283101677,1010733964846.7942,1624.347852623981
